Time taken to solve:	22.392 minutes
Required Solution trajectory

Node # 	 X 	 Y
28207 	 140.000 	 119.000
28208 	 140.000 	 120.000
28209 	 140.000 	 121.000
28210 	 140.000 	 122.000
28211 	 140.000 	 123.000
28212 	 140.000 	 124.000
28213 	 140.000 	 125.000
28214 	 140.000 	 126.000
28215 	 140.000 	 127.000
28456 	 141.000 	 128.000
28697 	 142.000 	 129.000
28938 	 143.000 	 130.000
29179 	 144.000 	 131.000
29420 	 145.000 	 132.000
29661 	 146.000 	 133.000
29902 	 147.000 	 134.000
30143 	 148.000 	 135.000
30384 	 149.000 	 136.000
30625 	 150.000 	 137.000
30866 	 151.000 	 138.000
31107 	 152.000 	 139.000
31348 	 153.000 	 140.000
31590 	 154.000 	 141.000
31831 	 155.000 	 142.000
32073 	 156.000 	 143.000
32315 	 157.000 	 144.000
32558 	 158.000 	 145.000
32801 	 159.000 	 146.000
33045 	 160.000 	 147.000
33290 	 161.000 	 148.000
33535 	 162.000 	 149.000
33781 	 163.000 	 150.000
34029 	 164.000 	 151.000
34277 	 165.000 	 152.000
34526 	 166.000 	 153.000
34777 	 167.000 	 154.000
35029 	 168.000 	 155.000
35282 	 169.000 	 156.000
35537 	 170.000 	 157.000
35793 	 171.000 	 158.000
36036 	 172.000 	 159.000
36275 	 173.000 	 160.000
36512 	 174.000 	 161.000
36747 	 175.000 	 162.000
36980 	 176.000 	 163.000
37214 	 177.000 	 164.000
37448 	 178.000 	 165.000
37679 	 179.000 	 166.000
37911 	 180.000 	 167.000
38143 	 181.000 	 168.000
38375 	 182.000 	 169.000
38607 	 183.000 	 170.000
38841 	 184.000 	 171.000
39075 	 185.000 	 172.000
39312 	 186.000 	 172.000
39498 	 187.000 	 173.000
39678 	 188.000 	 174.000
39854 	 189.000 	 175.000
40025 	 190.000 	 175.000
40193 	 191.000 	 176.000
40359 	 192.000 	 177.000
40522 	 193.000 	 177.000
40682 	 194.000 	 178.000
40841 	 195.000 	 178.000
40997 	 196.000 	 179.000
41151 	 197.000 	 180.000
41304 	 198.000 	 180.000
41456 	 199.000 	 181.000
41607 	 200.000 	 181.000
41758 	 201.000 	 181.000
41908 	 202.000 	 182.000
42057 	 203.000 	 182.000
42205 	 204.000 	 183.000
42352 	 205.000 	 183.000
42498 	 206.000 	 184.000
42643 	 207.000 	 184.000
42788 	 208.000 	 184.000
42932 	 209.000 	 185.000
43075 	 210.000 	 185.000
43218 	 211.000 	 185.000
43360 	 212.000 	 186.000
43501 	 213.000 	 186.000
43642 	 214.000 	 186.000
43783 	 215.000 	 186.000
43923 	 216.000 	 187.000
44062 	 217.000 	 187.000
44201 	 218.000 	 187.000
44340 	 219.000 	 187.000
44478 	 220.000 	 188.000
44615 	 221.000 	 188.000
44752 	 222.000 	 188.000
44889 	 223.000 	 188.000
45025 	 224.000 	 189.000
45160 	 225.000 	 189.000
45296 	 226.000 	 189.000
45432 	 227.000 	 189.000
45568 	 228.000 	 189.000
45704 	 229.000 	 189.000
45840 	 230.000 	 189.000
